,name,product,kind,date,month,represent,region
673, 더블유게임즈,소프트웨어 개발 및 공급업,모바일게임,2019-03-12,12월,김가람,서울특별시
674, 에코프로비엠,일차전지 및 이차전지 제조업,양극활물질,2019-03-05,12월,각자 ..,충청북도
675, 셀리드,자연과학 및 공학 연구개발업,항암면역치료백신,2019-02-20,12월,강창율,서울특별시
676, 우리금융지주,기타 금융업,금융지주,2019-02-13,12월,임종룡,서울특별시
677, 천보,기초 화학물질 제조업,"디스플레이 소재, 반도체 공정 소재, 2차전지 소재, 의약품 소재, 정밀화학 소재",2019-02-11,12월,이상율,충청북도
678, SCL사이언스,의료용품 및 기타 의약 관련제품 제조업,"의료용지혈제, 밀폐제 및 접착제",2019-02-01,12월,이경률..,서울특별시
679, 노랑풍선,여행사 및 기타 여행보조 서비스업,"국내외여행 알선, 항공권 판매",2019-01-30,12월,김진국,서울특별시
680, 웹케시,소프트웨어 개발 및 공급업,"에스이알피, 브랜치, 인하우스",2019-01-25,12월,강원주,서울특별시
681, 엘에이티,특수 목적용 기계 제조업,"In-Line Sputter, OLED 패널 청정물류 이송 장비 등",2018-12-28,12월,박강일,경기도
682, 에어부산,항공 여객 운송업,항공 여객 및 화물 운송,2018-12-27,12월,두성국,부산광역시
683, 비피도,기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등,2018-12-26,12월,신용철..,강원특별자치도
684, 유틸렉스,기초 의약물질 제조업,"면역항암 세포치료제, 면역항암 항체치료제",2018-12-24,12월,권병세..,서울특별시
685, 디케이티,전자부품 제조업,스마트폰용 FPCA,2018-12-21,12월,이지열,인천광역시
686, 아이엘사이언스,전구 및 조명장치 제조업,LED용 실리콘렌즈 외,2018-12-21,12월,송성근..,충청남도
687, 애니플러스,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송통신사업,2018-12-21,12월,전승택,서울특별시
688, 테크엔,전구 및 조명장치 제조업,LED조명장치,2018-12-21,12월,박철,대구광역시
689, 디와이씨,자동차 신품 부품 제조업,자동차 부품,2018-12-20,12월,김용덕..,경상북도
690, 오하임앤컴퍼니,기타 생활용품 소매업,기업인수합병,2018-12-20,12월,나형균,서울특별시
