,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
47,MA010120220800046392,승원수제바베큐,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2644010400133250000,1,대지,3325,,부산광역시 강서구 명지동 3325,264403350857,부산광역시 강서구 명지국제5로,165,,2644010400133250000000001,스위트팰리스,부산광역시 강서구 명지국제5로 165,618200,46773,,,,128.921391143276,35.1100022845979
48,MA010120220800046655,동보치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41390,시흥시,41390593,정왕3동,4139013200,정왕동,4139013200119420002,1,대지,1942,2,경기도 시흥시 정왕동 1942-2,413904397540,경기도 시흥시 정왕대로28번길,28,,4139013200119420002017928,동보아파트,경기도 시흥시 정왕대로28번길 28,429764,15041,,,,126.717236552524,37.3561370613649
49,MA010120220800046826,치킨히어로,,I2,음식,I210,기타 간이,I21006,치킨,I56219,기타 주점업,11,서울특별시,11350,노원구,11350700,상계8동,1135010500,상계동,1135010500106560003,1,대지,656,3,서울특별시 노원구 상계동 656-3,113504130216,서울특별시 노원구 동일로227길,85,,1135010500106560000000574,상계주공11단지아파트,서울특별시 노원구 동일로227길 85,139208,01619,,,,127.052339318984,37.6664480625884
50,MA010120220800046948,가마솥국민통닭,,I2,음식,I210,기타 간이,I21006,치킨,I56111,한식 일반 음식점업,41,경기도,41150,의정부시,41150510,의정부1동,4115010100,의정부동,4115010100102360030,1,대지,236,30,경기도 의정부시 의정부동 236-30,411503181002,경기도 의정부시 가능로,125,,4115010100102360030004854,,경기도 의정부시 가능로 125,480844,11686,,,,127.045082203723,37.7471033671336
51,MA010120220800047140,치킨마루,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41150,의정부시,41150595,가능동,4115010100,의정부동,4115010100104070002,1,대지,407,2,경기도 의정부시 의정부동 407-2,411503181002,경기도 의정부시 가능로,88,1,4115010100104070002004799,,경기도 의정부시 가능로 88-1,480810,11663,,1,,127.040934600821,37.7466822528545
52,MA010120220800047299,치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,52,전북특별자치도,52113,전주시 덕진구,52113560,인후3동,5211310300,인후동1가,5211310300109210013,1,대지,921,13,전북특별자치도 전주시 덕진구 인후동1가 921-13,521133267031,전북특별자치도 전주시 덕진구 석소로,9,,4511310300109210013028346,,전북특별자치도 전주시 덕진구 석소로 9,561827,55021,,,,127.169605520771,35.8282556732912
53,MA010120220800047318,멕시카나,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41830,양평군,41830250,양평읍,4183025026,양평읍,4183025026108750001,1,대지,875,1,경기도 양평군 양평읍 백안리 875-1,418304452255,경기도 양평군 양평읍 중앙로167번길,60,,4183025026108750000000001,양평벽산블루밍아파트1단지,경기도 양평군 양평읍 중앙로167번길 60,476808,12549,,1,,127.510289152891,37.4944492390193
54,MA010120220800047724,Bhc치킨양정염포점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,31,울산광역시,31200,북구,31200580,양정동,3120012400,양정동,3120012400106030009,1,대지,603,9,울산광역시 북구 양정동 603-9,312004316221,울산광역시 북구 양정6길,38,3,3120012400106030009007113,,울산광역시 북구 양정6길 38-3,683380,44260,,2,,129.385694114568,35.5427839567321
55,MA010120220800048244,교촌치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,26,부산광역시,26200,영도구,26200650,동삼1동,2620012100,동삼동,2620012100102190146,1,대지,219,146,부산광역시 영도구 동삼동 219-146,262003128009,부산광역시 영도구 동삼로,105,,2620012100102190145000002,대성베른시티,부산광역시 영도구 동삼로 105,606806,49092,,1,,129.071152617717,35.0827931670118
56,MA010120220800048278,에스에이치컴퍼니,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,26,부산광역시,26440,강서구,26440520,대저2동,2644010200,대저2동,2644010200124450002,1,대지,2445,2,부산광역시 강서구 대저2동 2445-2,264404208108,부산광역시 강서구 공항앞길85번길,107,,2644010200124450002000001,,부산광역시 강서구 공항앞길85번길 107,618807,46720,,,,128.954688753484,35.1734018151508
57,MA010120220800048697,야숯불치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,30,대전광역시,30230,대덕구,30230546,중리동,3023010900,중리동,3023010900102500013,1,대지,250,13,대전광역시 대덕구 중리동 250-13,302304304006,대전광역시 대덕구 계족로517번길,98,,3023010900102500013014565,,대전광역시 대덕구 계족로517번길 98,306826,34428,,1,,127.427251749281,36.3578521343679
58,MA010120220800049400,호랭마늘통닭,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,27,대구광역시,27260,수성구,27260601,황금1동,2726010700,황금동,2726010700102720000,1,대지,272,,대구광역시 수성구 황금동 272,272604238416,대구광역시 수성구 청호로46길,17,,2726010700102720000017006,신천지타운,대구광역시 수성구 청호로46길 17,706795,42181,,1,,128.641404838083,35.8389848471991
59,MA010120220800049423,와커치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11470,양천구,11470630,신정2동,1147010100,신정동,1147010100102960168,1,대지,296,168,서울특별시 양천구 신정동 296-168,114703114009,서울특별시 양천구 신목로,58,2,1147010100102960168005846,,서울특별시 양천구 신목로 58-2,158852,08015,,1,,126.873125837416,37.5200225019742
60,MA010120220800049826,페리카나아진천곡달천점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,31,울산광역시,31200,북구,31200530,농소3동,3120010900,달천동,3120010900108860000,1,대지,886,,울산광역시 북구 달천동 886,312003172004,울산광역시 북구 달천로,103,19,3120010900108860000000001,달천아이파크2차,울산광역시 북구 달천로 103-19,683794,44205,,,,129.327413662512,35.6330650099034
