,name,code,product,kind,date,month,represent,region
1831, 포니링크,064800,"섬유, 의복, 신발 및 가죽제품 소매업",의류제품,2002-08-22,12월,황정일..,서울특별시
1832, 포스코스틸리온,058430,1차 철강 제조업,"용융아연도금강판,용융알루미늄도금강판,칼라도장강판,냉연강판 가공,제조,도매",2002-08-16,12월,대표이..,경상북도
1833, 폴라리스AI,039980,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","TRS통신, Kipling Bag외",2002-08-13,12월,지준경,서울특별시
1834, 현대바이오,048410,기타 화학제품 제조업,화장품 및 화장품원료,2002-08-08,12월,오상기,경상북도
1835, 삼성출판사,068290,"서적, 잡지 및 기타 인쇄물 출판업","서적 출판,인쇄,소매/부동산 임대",2002-08-05,12월,김진용,서울특별시
1836, 세이브존I&C,067830,종합 소매업,"대형할인점(백화점)/부동산 임대/주차장,문화센터 운영",2002-07-25,12월,이상준,서울특별시
1837, 에스피지,058610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",소형 Geared Motor,2002-07-23,12월,이준호..,인천광역시
1838, 토탈소프트,045340,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등),2002-07-19,12월,최장수,부산광역시
1839, 교보증권,030610,금융 지원 서비스업,"유가증권 매매,중개,대리,인수",2002-07-18,12월,박봉권..,서울특별시
1840, 서호전기,065710,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","항만크레인,구동전기장치",2002-07-16,12월,김승남,경기도
1841, 파커스,065690,고무제품 제조업,"프린터 부품, LED 조명기기,및 헬스케어 제품 제조업체",2002-07-16,12월,박창식,충청남도
1842, 한샘,009240,생활용품 도매업,"주방가구(씽크대),인테리어가구 판매,제조/주택신축판매",2002-07-16,12월,김유진..,경기도
